07-20 05:08:23: Training starting...
07-20 05:08:29: New best reward -7.5 (-100.0%) at episode 0, saving model...
07-20 05:08:29: New best reward -6.9 (-8.0%) at episode 4, saving model...
07-20 05:08:29: New best reward -6.3 (-8.7%) at episode 12, saving model...
07-20 05:08:29: New best reward -5.7 (-9.5%) at episode 30, saving model...
07-20 05:08:30: New best reward -5.1 (-10.5%) at episode 63, saving model...
07-20 05:08:30: New best reward -4.5 (-11.8%) at episode 163, saving model...
07-20 05:08:31: New best reward -1.5 (-66.7%) at episode 187, saving model...
07-20 05:08:41: New best reward -0.9 (-40.0%) at episode 1129, saving model...
07-20 05:08:45: New best reward 3.9 (-533.3%) at episode 1498, saving model...
07-20 05:10:23: New best reward 6.0 (+53.8%) at episode 8492, saving model...
07-20 05:11:22: New best reward 6.2 (+3.3%) at episode 11947, saving model...
07-20 05:12:32: New best reward 6.4 (+3.2%) at episode 15529, saving model...
07-20 05:13:17: New best reward 6.6 (+3.1%) at episode 17775, saving model...
07-20 05:13:47: New best reward 6.7 (+1.5%) at episode 19282, saving model...
07-20 05:13:52: New best reward 8.4 (+25.4%) at episode 19516, saving model...
07-20 05:14:32: New best reward 9.4 (+11.9%) at episode 21368, saving model...
07-20 05:16:08: New best reward 10.5 (+11.7%) at episode 25714, saving model...
07-20 05:16:41: New best reward 17.9 (+70.5%) at episode 27225, saving model...
07-20 05:25:20: New best reward 18.6 (+3.9%) at episode 47479, saving model...
07-20 05:25:47: New best reward 22.4 (+20.4%) at episode 48385, saving model...
07-20 05:29:50: New best reward 23.2 (+3.6%) at episode 56637, saving model...
07-20 05:29:56: New best reward 23.4 (+0.9%) at episode 56793, saving model...
07-20 05:30:14: New best reward 27.7 (+18.4%) at episode 57383, saving model...
07-20 05:30:31: New best reward 32.0 (+15.5%) at episode 57884, saving model...
07-20 05:34:19: New best reward 36.7 (+14.7%) at episode 64792, saving model...
07-20 05:35:18: New best reward 48.8 (+33.0%) at episode 66538, saving model...
07-20 05:42:58: New best reward 51.6 (+5.7%) at episode 80079, saving model...
07-20 05:45:13: New best reward 55.2 (+7.0%) at episode 83819, saving model...
07-20 05:47:03: New best reward 60.5 (+9.6%) at episode 86827, saving model...
07-20 05:52:50: New best reward 75.0 (+24.0%) at episode 95322, saving model...
07-20 05:53:55: New best reward 78.4 (+4.5%) at episode 96768, saving model...
07-20 06:03:33: New best reward 82.9 (+5.7%) at episode 108654, saving model...
07-20 06:07:59: New best reward 83.2 (+0.4%) at episode 114131, saving model...
07-20 06:08:35: New best reward 98.0 (+17.8%) at episode 114856, saving model...
07-20 06:15:22: New best reward 98.1 (+0.1%) at episode 122677, saving model...
07-20 06:36:29: New best reward 118.5 (+20.8%) at episode 146960, saving model...
07-20 06:48:01: New best reward 124.9 (+5.4%) at episode 158486, saving model...
07-20 06:53:15: New best reward 138.9 (+11.2%) at episode 163495, saving model...
07-20 06:53:57: New best reward 139.3 (+0.3%) at episode 164252, saving model...
07-20 07:06:53: New best reward 146.8 (+5.4%) at episode 176764, saving model...
07-20 07:07:03: New best reward 165.0 (+12.4%) at episode 176910, saving model...
07-20 07:15:47: New best reward 169.6 (+2.8%) at episode 185106, saving model...
07-20 11:18:48: New best reward 204.4 (+20.5%) at episode 377378, saving model...
